gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,master's degree,free/reduced,none,68,80,74
female,group C,bachelor's degree,standard,completed,58,76,69
male,group D,some high school,standard,completed,86,83,87
female,group C,associate's degree,standard,none,74,80,75
female,group C,bachelor's degree,standard,completed,67,77,79
male,group E,associate's degree,free/reduced,completed,90,95,94
female,group C,high school,free/reduced,completed,61,66,69
female,group C,some college,free/reduced,none,64,69,66
male,group C,high school,free/reduced,none,37,34,30
male,group E,some high school,standard,none,93,86,80
male,group E,some college,standard,completed,86,82,77
male,group B,high school,standard,none,71,65,68
male,group E,some high school,free/reduced,none,68,60,50
female,group D,some high school,standard,none,68,65,70
male,group C,some college,free/reduced,completed,46,45,40
female,group C,some college,standard,none,78,90,94
female,group C,associate's degree,standard,none,57,72,63
male,group D,high school,standard,none,73,63,63
male,group C,some college,free/reduced,none,42,45,35
female,group B,some high school,standard,none,78,79,81
male,group C,some college,standard,completed,95,87,90
female,group D,high school,free/reduced,none,76,82,89
female,group B,associate's degree,standard,none,61,76,71
female,group B,bachelor's degree,standard,none,66,73,73
male,group B,master's degree,standard,none,83,76,74
male,group B,high school,free/reduced,none,61,47,43
male,group C,master's degree,free/reduced,none,52,57,52
male,group B,some high school,standard,none,45,57,46
male,group B,associate's degree,standard,none,81,80,77
male,group C,some high school,standard,none,82,68,67
male,group C,some high school,free/reduced,none,51,48,44
male,group C,some high school,standard,none,89,80,81
male,group D,master's degree,standard,completed,89,85,85
male,group D,master's degree,standard,completed,80,85,85
male,group A,associate's degree,free/reduced,none,46,45,39
female,group C,bachelor's degree,standard,completed,60,80,78
male,group C,some high school,standard,none,72,69,67
female,group B,high school,standard,none,37,44,41
male,group C,some college,free/reduced,none,82,78,75
female,group E,some high school,free/reduced,none,38,45,41
male,group D,some high school,standard,completed,65,61,64
male,group C,associate's degree,free/reduced,none,74,76,70
male,group A,some college,standard,none,79,79,78
male,group B,some high school,free/reduced,completed,83,76,79
male,group C,some college,standard,none,63,63,64
female,group E,some college,standard,none,87,86,87
female,group A,master's degree,free/reduced,completed,58,74,75
male,group A,some college,free/reduced,none,52,49,54
female,group E,high school,free/reduced,completed,48,57,57
female,group A,high school,standard,completed,65,77,76
female,group C,associate's degree,free/reduced,none,41,72,60
female,group B,associate's degree,free/reduced,none,47,72,66
female,group D,some college,standard,none,60,72,75
male,group C,some college,standard,none,78,76,70
male,group C,some college,free/reduced,none,58,70,64
male,group C,some college,free/reduced,none,71,58,65
female,group E,some college,standard,none,81,94,92
female,group C,associate's degree,free/reduced,none,61,73,80
male,group A,high school,free/reduced,completed,62,61,58
male,group C,some high school,standard,none,50,51,46
female,group D,high school,standard,completed,89,93,97
male,group A,some high school,standard,none,74,66,69
female,group B,some high school,free/reduced,none,53,66,57
female,group C,master's degree,free/reduced,completed,27,39,44
female,group C,some college,free/reduced,none,32,45,39
male,group B,some college,free/reduced,none,45,43,38
male,group D,high school,free/reduced,none,37,34,37
male,group E,bachelor's degree,free/reduced,none,76,68,67
male,group B,master's degree,free/reduced,none,62,76,70
male,group A,some high school,free/reduced,none,68,70,60
female,group D,associate's degree,standard,none,66,65,67
male,group D,associate's degree,standard,none,62,51,45
male,group B,some college,free/reduced,completed,66,66,60
male,group C,high school,free/reduced,none,51,45,39
female,group C,high school,free/reduced,none,65,73,68
male,group B,high school,free/reduced,none,63,56,51
male,group C,some college,standard,completed,85,88,82
male,group A,bachelor's degree,standard,none,70,54,55
male,group C,high school,free/reduced,none,55,59,56
female,group C,some college,standard,completed,48,58,59
female,group C,some college,free/reduced,none,25,47,40
female,group D,associate's degree,standard,completed,88,88,90
female,group B,master's degree,standard,none,83,81,89
female,group B,high school,standard,none,85,91,91
female,group D,some college,standard,none,85,91,88
male,group E,associate's degree,standard,none,85,79,78
male,group B,some college,standard,none,91,85,80
male,group C,some high school,standard,none,62,53,53
male,group D,some high school,standard,completed,58,50,58
female,group C,high school,standard,completed,48,54,54
male,group C,some college,standard,none,52,55,45
female,group E,master's degree,standard,completed,74,85,82
female,group C,high school,free/reduced,none,27,43,37
female,group C,some college,standard,completed,63,77,77
female,group E,some college,standard,none,95,100,98
female,group C,associate's degree,standard,none,71,85,81
female,group E,high school,standard,completed,67,69,76
male,group C,master's degree,standard,none,70,67,62
male,group B,associate's degree,free/reduced,none,82,76,64
female,group A,master's degree,standard,completed,84,100,100
male,group B,bachelor's degree,free/reduced,none,66,49,49
male,group B,associate's degree,free/reduced,completed,79,75,73
male,group C,associate's degree,standard,completed,88,96,95
female,group A,associate's degree,standard,none,81,96,91
male,group B,master's degree,standard,completed,77,73,72
female,group B,some college,standard,none,88,92,91
female,group C,some college,free/reduced,none,57,72,73
male,group C,some high school,free/reduced,none,45,37,38
female,group A,some college,standard,completed,80,81,84
male,group E,high school,free/reduced,none,73,77,69
female,group B,some college,standard,none,65,78,75
male,group D,high school,standard,completed,75,72,72
male,group C,high school,standard,completed,83,77,80
male,group D,high school,free/reduced,none,58,57,52
male,group C,master's degree,standard,completed,99,99,100
female,group A,associate's degree,standard,completed,70,86,84
male,group C,some high school,standard,none,88,83,79
male,group E,some high school,free/reduced,none,86,81,75
female,group D,associate's degree,standard,completed,74,98,92
male,group D,associate's degree,standard,none,75,61,55
female,group D,associate's degree,standard,none,79,89,89
female,group B,high school,free/reduced,none,70,80,79
male,group C,some college,free/reduced,none,77,75,60
male,group D,high school,free/reduced,completed,68,55,56
female,group D,bachelor's degree,standard,none,74,74,81
female,group A,some high school,standard,none,75,89,76
male,group B,some high school,standard,none,73,59,62
male,group D,associate's degree,free/reduced,completed,53,64,64
female,group D,associate's degree,standard,completed,73,84,88
male,group C,high school,free/reduced,completed,59,58,61
male,group D,some college,standard,completed,84,83,87
male,group A,some college,standard,none,61,52,47
male,group B,bachelor's degree,standard,none,62,62,56
male,group D,bachelor's degree,free/reduced,none,67,80,68
female,group C,some college,standard,none,52,64,57
male,group D,some college,standard,completed,100,96,98
female,group E,bachelor's degree,standard,none,78,83,85
male,group B,high school,free/reduced,none,42,42,39
female,group D,some high school,free/reduced,none,39,46,49
male,group B,some college,standard,none,82,87,83
male,group B,high school,standard,none,82,77,69
male,group C,master's degree,standard,none,66,57,61
female,group D,some college,free/reduced,none,49,68,67
female,group B,some college,free/reduced,none,48,57,50
female,group B,some college,standard,none,82,93,90
male,group E,associate's degree,standard,completed,100,98,97
female,group C,high school,free/reduced,none,57,71,70
female,group C,some high school,standard,completed,73,88,85
female,group C,associate's degree,standard,completed,72,87,86
female,group B,associate's degree,standard,none,66,79,72
female,group C,some high school,free/reduced,none,39,53,53
male,group C,bachelor's degree,standard,completed,82,79,82
male,group D,associate's degree,standard,none,88,91,87
male,group B,high school,standard,none,57,50,53
female,group D,some high school,standard,completed,72,86,95
male,group D,high school,standard,none,89,94,89
male,group C,some college,standard,none,92,84,76
male,group E,associate's degree,standard,none,69,66,66
male,group C,some high school,standard,none,58,53,44
female,group C,some college,standard,none,58,70,64
female,group B,some college,free/reduced,none,32,48,44
female,group A,high school,standard,completed,72,90,88
male,group C,high school,standard,completed,69,67,69
male,group C,some high school,standard,none,80,79,77
male,group D,some college,standard,none,63,54,56
male,group C,high school,free/reduced,completed,47,50,46
male,group E,some high school,standard,none,70,59,52
female,group D,master's degree,standard,none,64,66,72
male,group C,bachelor's degree,free/reduced,completed,64,56,64
female,group C,some college,standard,none,76,85,84
female,group D,bachelor's degree,standard,none,60,68,72
female,group A,master's degree,standard,none,63,63,64
female,group C,some high school,free/reduced,none,46,48,47
male,group C,high school,standard,completed,96,93,87
female,group C,bachelor's degree,free/reduced,none,70,89,84
male,group C,bachelor's degree,free/reduced,none,47,52,49
female,group E,some high school,free/reduced,completed,70,84,77
female,group C,associate's degree,standard,none,72,67,68
male,group B,high school,free/reduced,completed,52,60,55
female,group C,some college,standard,none,62,66,66
female,group D,associate's degree,free/reduced,completed,64,82,85
male,group C,some high school,free/reduced,none,56,61,55
male,group A,some high school,free/reduced,none,58,53,48
female,group A,some high school,free/reduced,none,39,53,47
female,group D,some high school,standard,completed,79,90,86
male,group C,high school,standard,none,78,78,69
male,group C,some high school,free/reduced,completed,76,75,76
female,group D,associate's degree,free/reduced,none,43,61,60
female,group B,some high school,free/reduced,none,61,73,70
male,group C,high school,free/reduced,completed,42,48,44
female,group E,associate's degree,free/reduced,completed,69,79,77
male,group D,some college,standard,none,67,61,62
female,group B,associate's degree,standard,none,81,86,87
female,group D,some high school,free/reduced,none,67,86,74
female,group A,master's degree,standard,none,72,78,76
male,group C,some high school,free/reduced,completed,66,71,67
male,group D,bachelor's degree,standard,none,80,82,80
female,group C,some college,standard,none,75,78,78
male,group C,associate's degree,standard,none,52,48,46
female,group C,some college,free/reduced,none,45,58,54
male,group E,associate's degree,standard,completed,62,50,53
male,group A,associate's degree,standard,none,80,74,68
female,group C,bachelor's degree,standard,none,74,83,87
male,group D,bachelor's degree,standard,none,90,85,82
male,group B,high school,free/reduced,none,53,50,41
female,group C,high school,free/reduced,none,64,79,82
male,group D,high school,standard,none,78,71,68
female,group D,associate's degree,standard,completed,92,100,100
male,group C,some college,standard,none,77,67,67
female,group D,associate's degree,standard,completed,79,85,92
male,group D,some high school,free/reduced,none,55,44,44
female,group C,master's degree,standard,none,84,92,96
female,group D,some high school,free/reduced,none,58,75,73
male,group C,some college,standard,completed,89,85,88
male,group C,high school,standard,none,75,59,58
male,group C,some high school,standard,none,66,57,60
male,group E,high school,standard,completed,81,61,64
male,group E,associate's degree,free/reduced,completed,84,82,76
female,group C,master's degree,free/reduced,none,79,85,82
female,group B,some high school,standard,completed,79,98,100
male,group D,bachelor's degree,standard,none,96,91,94
male,group D,some high school,standard,completed,70,69,77
male,group C,high school,standard,none,50,43,40
male,group E,some high school,free/reduced,none,56,55,52
male,group A,some college,standard,none,78,65,63
female,group B,high school,free/reduced,completed,61,84,81
female,group D,some high school,standard,none,57,64,64
female,group D,high school,free/reduced,completed,31,45,52
male,group C,associate's degree,free/reduced,none,62,52,51
female,group B,associate's degree,standard,none,54,64,60
male,group B,associate's degree,standard,none,77,67,65
male,group D,some high school,standard,none,38,41,36
female,group D,some college,standard,none,55,60,66
female,group B,associate's degree,standard,completed,54,70,65
female,group B,associate's degree,standard,none,71,74,80
female,group B,high school,standard,none,56,65,65
male,group E,some college,free/reduced,none,86,76,73
male,group C,associate's degree,standard,none,49,46,46
female,group E,some high school,free/reduced,none,63,71,66
female,group C,some college,free/reduced,none,57,74,68
female,group D,bachelor's degree,free/reduced,none,64,78,82
female,group D,associate's degree,standard,completed,64,77,86
female,group B,some college,standard,completed,84,99,100
male,group C,associate's degree,free/reduced,completed,68,63,65
male,group D,master's degree,standard,none,69,72,72
male,group B,associate's degree,standard,none,83,77,71
male,group D,associate's degree,standard,none,90,86,84
male,group D,some high school,free/reduced,completed,71,67,71
female,group D,bachelor's degree,standard,completed,84,86,97
female,group B,high school,free/reduced,none,46,60,51
female,group C,bachelor's degree,standard,none,89,97,100
female,group D,associate's degree,standard,none,65,79,84
male,group C,master's degree,standard,none,82,83,78
female,group D,some high school,free/reduced,none,69,82,78
female,group E,associate's degree,free/reduced,completed,72,84,79
female,group C,some college,standard,none,69,73,66
male,group C,some college,free/reduced,completed,57,64,63
male,group C,bachelor's degree,free/reduced,completed,93,88,88
female,group E,master's degree,free/reduced,none,61,68,63
male,group B,high school,standard,completed,76,80,75
male,group C,high school,free/reduced,completed,62,58,61
female,group E,bachelor's degree,free/reduced,none,42,41,46
male,group C,some high school,free/reduced,none,43,44,42
female,group E,bachelor's degree,free/reduced,completed,64,77,80
male,group B,bachelor's degree,free/reduced,completed,68,80,76
male,group D,high school,standard,completed,90,91,97
male,group D,high school,standard,none,50,45,37
female,group B,bachelor's degree,free/reduced,completed,35,59,54
male,group C,associate's degree,standard,none,88,91,84
female,group D,some college,standard,none,80,83,87
male,group C,bachelor's degree,free/reduced,none,57,56,53
female,group E,some college,standard,completed,67,75,80
male,group B,associate's degree,standard,none,82,85,86
female,group B,some college,standard,none,70,77,79
female,group D,some high school,standard,completed,45,64,65
male,group C,some college,standard,none,57,55,51
female,group B,associate's degree,standard,none,65,72,77
female,group C,some high school,standard,none,34,44,41
female,group D,some college,standard,none,58,71,72
male,group B,some high school,free/reduced,none,42,53,40
male,group C,some college,free/reduced,none,54,55,54
male,group B,master's degree,standard,none,89,95,93
male,group B,bachelor's degree,free/reduced,none,79,78,73
female,group B,some high school,free/reduced,none,41,52,56
male,group D,high school,free/reduced,none,79,81,68
female,group C,associate's degree,standard,none,58,67,67
female,group C,some high school,standard,none,60,72,70
female,group D,bachelor's degree,free/reduced,none,68,78,78
female,group C,some high school,standard,none,71,75,74
female,group B,bachelor's degree,standard,none,77,92,91
female,group A,high school,standard,none,18,34,30
male,group B,master's degree,free/reduced,none,55,60,58
female,group E,bachelor's degree,standard,completed,59,65,58
male,group D,high school,standard,none,67,63,69
female,group C,associate's degree,standard,completed,50,63,63
female,group C,some high school,standard,none,47,56,52
female,group C,some college,standard,none,77,86,84
male,group C,bachelor's degree,free/reduced,completed,71,68,68
female,group A,some college,free/reduced,none,52,70,64
male,group C,associate's degree,standard,completed,73,78,79
female,group B,bachelor's degree,free/reduced,none,66,85,76
female,group B,associate's degree,free/reduced,none,77,84,76
female,group C,some college,free/reduced,none,67,85,81
male,group C,some high school,standard,none,52,42,44
female,group D,some high school,free/reduced,none,36,47,43
male,group E,some high school,free/reduced,completed,71,67,65
female,group D,high school,standard,completed,73,75,78
male,group E,master's degree,free/reduced,completed,81,72,78
male,group B,some college,standard,none,59,62,64
female,group B,bachelor's degree,standard,none,95,93,94
male,group B,bachelor's degree,free/reduced,none,69,59,55
male,group B,bachelor's degree,standard,completed,47,57,57
male,group E,some high school,standard,completed,78,82,78
male,group C,associate's degree,standard,completed,85,80,88
male,group A,bachelor's degree,free/reduced,completed,84,90,87
female,group D,associate's degree,free/reduced,none,50,57,60
female,group E,associate's degree,standard,none,57,63,62
male,group D,some high school,free/reduced,none,65,62,57
female,group D,associate's degree,standard,none,75,66,72
female,group C,some college,standard,none,83,91,88
male,group B,some high school,standard,none,58,55,52
female,group A,high school,free/reduced,none,36,41,40
male,group C,associate's degree,standard,completed,77,70,75
female,group B,some high school,free/reduced,none,68,74,73
male,group C,some college,standard,none,63,60,58
female,group B,some college,standard,none,73,89,84
female,group D,some high school,standard,none,64,70,73
male,group C,high school,standard,completed,56,55,53
female,group D,some high school,free/reduced,completed,48,62,71
female,group C,some high school,free/reduced,none,65,70,68
male,group D,associate's degree,standard,none,65,65,71
female,group B,some high school,standard,none,56,62,66
male,group E,some high school,free/reduced,completed,62,56,52
male,group E,master's degree,standard,none,95,91,91
female,group B,some high school,free/reduced,none,52,65,65
female,group D,high school,standard,none,73,69,71
female,group E,some college,standard,completed,77,87,83
male,group C,master's degree,standard,none,81,75,75
female,group C,associate's degree,standard,completed,66,81,82
female,group C,high school,free/reduced,none,55,74,68
male,group D,associate's degree,standard,completed,87,83,87
female,group D,some college,standard,none,63,67,66
male,group B,associate's degree,standard,none,85,77,74
female,group C,high school,standard,none,81,88,88
male,group B,some high school,standard,none,50,55,54
male,group B,some college,standard,completed,72,76,76
female,group D,some high school,free/reduced,completed,69,86,91
female,group E,some college,free/reduced,completed,83,88,89
female,group D,high school,standard,completed,85,79,83
female,group C,some college,free/reduced,completed,82,88,92
male,group E,associate's degree,standard,none,87,80,78
female,group C,some college,standard,none,64,72,71
male,group B,associate's degree,free/reduced,none,55,66,64
female,group A,high school,standard,completed,85,80,85
male,group C,high school,standard,none,75,73,69
male,group B,associate's degree,standard,none,92,74,77
male,group A,high school,standard,completed,74,71,68
female,group B,associate's degree,free/reduced,none,63,85,82
female,group D,associate's degree,standard,none,66,70,73
male,group C,some high school,standard,none,62,54,48
male,group B,some high school,standard,completed,70,67,69
female,group C,some college,free/reduced,none,37,52,51
male,group C,some college,standard,none,54,51,55
female,group C,high school,standard,completed,68,84,76
male,group C,associate's degree,standard,completed,76,72,71
male,group B,some college,free/reduced,none,82,80,80
female,group D,associate's degree,standard,completed,80,96,94
female,group A,some college,free/reduced,completed,50,67,68
female,group B,associate's degree,free/reduced,completed,58,71,70
male,group C,some high school,standard,completed,67,67,70
male,group E,high school,free/reduced,none,70,51,55
male,group B,associate's degree,free/reduced,none,47,50,36
male,group C,high school,free/reduced,completed,46,41,41
female,group E,high school,standard,none,70,67,61
female,group B,some college,standard,none,84,92,95
female,group B,high school,free/reduced,none,29,41,36
male,group B,some high school,free/reduced,none,52,56,46
male,group B,high school,standard,none,82,73,70
female,group D,bachelor's degree,standard,none,50,54,61
male,group A,some high school,standard,none,54,58,51
female,group E,high school,free/reduced,completed,27,29,31
male,group B,high school,standard,none,36,28,23
female,group E,some college,free/reduced,completed,85,88,96
female,group B,some high school,standard,none,81,88,86
male,group B,high school,standard,completed,74,80,80
male,group C,high school,standard,completed,87,89,91
male,group E,bachelor's degree,standard,none,76,64,60
female,group D,high school,standard,none,77,60,70
female,group D,bachelor's degree,standard,none,64,70,74
female,group C,high school,free/reduced,none,57,68,66
male,group B,some college,standard,none,62,69,63
female,group B,some college,free/reduced,none,68,77,75
male,group B,some high school,standard,completed,79,69,70
female,group B,high school,standard,completed,65,84,79
male,group A,some high school,free/reduced,completed,65,66,64
female,group D,associate's degree,free/reduced,none,61,71,68
male,group A,high school,standard,completed,64,66,68
male,group B,associate's degree,standard,none,88,66,70
female,group C,master's degree,standard,completed,78,75,90
female,group D,some college,standard,none,74,78,81
female,group B,some high school,free/reduced,none,29,28,31
female,group C,some college,standard,completed,45,55,58
female,group B,high school,standard,completed,72,89,86
female,group C,some college,standard,none,44,59,60
male,group D,master's degree,standard,completed,79,74,76
male,group B,some high school,standard,none,59,57,49
female,group B,some high school,standard,completed,56,77,75
female,group E,associate's degree,standard,completed,77,73,77
male,group A,some college,standard,none,43,34,37
male,group D,some college,standard,none,65,61,60
female,group E,some high school,free/reduced,none,49,56,54
male,group C,some college,standard,completed,89,79,83
female,group C,some high school,standard,none,85,94,94
male,group D,some college,free/reduced,none,70,62,61
female,group C,associate's degree,standard,none,71,77,80
female,group C,master's degree,standard,completed,83,82,88
male,group B,bachelor's degree,standard,none,96,86,84
female,group D,bachelor's degree,standard,none,64,79,76
male,group A,associate's degree,standard,none,59,60,57
female,group D,some high school,standard,completed,86,100,100
female,group D,some college,free/reduced,none,55,65,61
female,group C,high school,free/reduced,none,68,81,77
female,group C,some college,standard,none,70,79,82
male,group C,master's degree,standard,none,67,73,72
male,group A,high school,standard,none,72,63,67
female,group B,high school,free/reduced,none,65,71,73
female,group D,associate's degree,standard,completed,97,100,100
male,group E,some high school,standard,completed,74,64,61
male,group C,some high school,standard,completed,78,75,74
female,group C,some high school,standard,none,45,46,45
female,group B,some college,standard,none,62,77,72
male,group D,some college,free/reduced,none,77,76,71
female,group C,bachelor's degree,free/reduced,none,53,63,61
female,group C,some college,standard,none,57,73,70
female,group D,high school,standard,completed,82,87,88
male,group A,some college,standard,completed,47,46,48
male,group C,some high school,free/reduced,none,59,55,47
male,group D,master's degree,standard,none,96,96,98
female,group C,some high school,free/reduced,none,53,61,61
male,group D,some high school,standard,completed,56,61,59
male,group E,high school,free/reduced,none,66,50,44
female,group B,some high school,standard,none,34,56,53
male,group C,bachelor's degree,free/reduced,none,70,68,72
male,group A,some college,standard,completed,83,79,86
female,group B,associate's degree,standard,completed,75,84,86
male,group C,bachelor's degree,free/reduced,completed,82,82,79
female,group D,some high school,free/reduced,none,44,54,50
male,group D,bachelor's degree,standard,none,70,67,66
female,group C,some college,free/reduced,none,45,66,60
male,group C,some college,standard,none,77,74,72
female,group A,high school,standard,completed,55,70,74
male,group E,high school,standard,none,90,84,78
male,group C,some college,standard,none,71,64,59
male,group B,some college,standard,none,49,39,40
male,group C,some college,standard,none,97,93,86
female,group C,associate's degree,standard,none,70,81,82
female,group E,some high school,standard,none,61,66,58
female,group E,some high school,standard,none,77,72,68
female,group C,high school,standard,completed,77,87,88
female,group B,associate's degree,standard,completed,65,81,85
male,group C,some high school,standard,completed,67,69,60
female,group B,bachelor's degree,standard,completed,90,94,99
male,group C,some high school,standard,completed,60,55,53
male,group B,associate's degree,standard,completed,79,81,76
female,group C,some college,standard,none,41,65,59
female,group D,some college,standard,completed,81,95,97
male,group D,some high school,free/reduced,completed,71,71,76
female,group C,associate's degree,free/reduced,completed,41,64,64
male,group D,high school,standard,none,68,45,47
female,group B,associate's degree,free/reduced,completed,62,78,77
female,group B,some high school,free/reduced,completed,58,62,64
female,group E,high school,free/reduced,completed,78,74,76
male,group B,some college,free/reduced,none,70,58,52
male,group A,some college,free/reduced,none,49,49,35
female,group C,high school,standard,none,78,69,65
female,group B,some high school,free/reduced,completed,34,46,46
female,group C,some college,standard,none,55,51,61
female,group C,some high school,free/reduced,none,53,59,50
male,group C,bachelor's degree,standard,completed,55,57,56
female,group B,some college,standard,completed,77,81,82
male,group C,some high school,standard,none,58,48,48
female,group C,some high school,standard,completed,79,96,96
female,group C,bachelor's degree,standard,none,72,78,83
male,group D,bachelor's degree,standard,completed,89,82,87
female,group C,high school,standard,none,49,58,47
male,group C,bachelor's degree,standard,none,72,62,63
male,group B,bachelor's degree,standard,none,68,57,57
male,group C,high school,free/reduced,completed,69,70,70
male,group E,bachelor's degree,standard,none,95,89,86
female,group E,associate's degree,free/reduced,none,69,75,75
male,group C,some high school,free/reduced,none,30,47,37
male,group B,bachelor's degree,standard,none,56,65,60
female,group C,high school,standard,none,47,55,56
female,group D,master's degree,standard,none,62,66,75
male,group C,some college,standard,none,85,85,77
female,group A,some college,free/reduced,none,54,67,65
female,group B,bachelor's degree,standard,none,48,56,58
male,group E,some college,free/reduced,none,55,52,48
female,group B,high school,standard,none,58,63,60
female,group B,some college,free/reduced,none,78,87,83
female,group B,high school,standard,none,64,83,74
male,group D,high school,free/reduced,none,52,50,42
female,group B,some high school,standard,completed,70,82,76
female,group C,master's degree,standard,none,64,77,76
female,group B,some high school,standard,none,70,80,69
male,group C,associate's degree,free/reduced,completed,75,75,72
male,group B,some college,free/reduced,completed,81,80,78
female,group E,bachelor's degree,free/reduced,completed,74,80,80
female,group B,some college,standard,none,66,70,69
male,group E,associate's degree,standard,none,71,51,57
female,group D,some college,free/reduced,none,51,58,55
male,group D,some high school,standard,none,89,84,84
male,group C,master's degree,standard,completed,97,91,91
male,group D,high school,standard,completed,87,83,86
male,group D,master's degree,standard,none,72,70,72
male,group A,some college,standard,none,61,57,57
female,group D,associate's degree,standard,none,72,80,80
male,group E,associate's degree,free/reduced,none,92,83,82
male,group E,master's degree,free/reduced,none,86,77,71
female,group D,some high school,standard,none,91,78,86
male,group C,some college,free/reduced,completed,59,66,63
female,group C,some college,free/reduced,none,31,58,45
male,group B,high school,standard,none,68,67,58
female,group E,some college,standard,none,99,100,93
male,group C,some high school,standard,completed,70,69,70
female,group B,master's degree,standard,none,61,81,77
female,group A,bachelor's degree,free/reduced,completed,65,76,82
female,group B,high school,standard,none,33,37,38
male,group E,associate's degree,free/reduced,none,85,78,77
male,group C,some high school,standard,none,94,84,81
male,group E,some college,standard,none,61,58,52
male,group C,master's degree,standard,completed,63,59,63
female,group B,some college,standard,completed,56,70,69
female,group C,bachelor's degree,free/reduced,completed,41,64,67
male,group B,high school,standard,none,61,66,56
female,group C,high school,standard,none,31,45,48
male,group D,some high school,standard,none,67,64,61
male,group C,associate's degree,standard,completed,100,95,96
female,group C,high school,free/reduced,none,72,76,74
female,group E,bachelor's degree,standard,none,100,99,99
female,group C,bachelor's degree,free/reduced,none,60,66,68
male,group B,some high school,standard,none,79,71,67
male,group D,master's degree,standard,completed,90,90,95
female,group A,associate's degree,standard,none,71,86,80
male,group B,associate's degree,free/reduced,none,50,50,51
male,group B,high school,free/reduced,none,56,57,53
male,group D,some college,free/reduced,completed,64,64,64
male,group D,some high school,free/reduced,completed,38,44,44
male,group C,some high school,standard,none,60,63,53
male,group E,some college,standard,completed,80,74,72
female,group D,associate's degree,standard,none,88,100,100
female,group E,bachelor's degree,free/reduced,none,56,59,66
female,group D,some high school,standard,none,76,82,81
male,group C,high school,standard,none,68,67,68
male,group D,some college,free/reduced,completed,66,59,68
female,group D,master's degree,standard,none,71,80,81
female,group E,some college,free/reduced,none,34,59,52
female,group A,associate's degree,free/reduced,none,74,77,83
female,group A,bachelor's degree,free/reduced,completed,38,58,60
female,group C,associate's degree,standard,completed,83,99,98
female,group A,associate's degree,free/reduced,completed,82,95,96
female,group D,associate's degree,standard,completed,77,98,100
female,group A,some high school,standard,completed,59,75,75
female,group D,some college,standard,none,67,70,73
male,group C,some college,free/reduced,none,52,51,56
male,group C,associate's degree,standard,completed,77,85,77
female,group E,some college,standard,completed,86,91,99
male,group B,some college,standard,completed,56,48,48
female,group C,some high school,free/reduced,none,53,67,61
male,group C,master's degree,standard,none,78,70,69
male,group D,associate's degree,free/reduced,completed,76,78,71
female,group C,some high school,standard,none,55,59,63
male,group E,high school,standard,none,69,55,52
female,group C,some college,free/reduced,completed,78,97,93
male,group C,master's degree,free/reduced,none,74,71,69
male,group B,high school,free/reduced,completed,82,81,77
female,group C,high school,standard,none,75,80,75
male,group A,master's degree,standard,none,90,94,92
female,group B,some college,free/reduced,none,65,78,74
female,group C,associate's degree,standard,none,80,94,87
male,group C,some college,free/reduced,completed,49,54,53
male,group D,associate's degree,standard,none,90,87,84
male,group D,some college,free/reduced,completed,62,52,57
male,group D,master's degree,free/reduced,completed,80,76,73
female,group C,some college,standard,none,78,89,97
female,group E,some college,standard,none,72,70,72
female,group B,some college,standard,completed,77,88,88
female,group D,bachelor's degree,standard,completed,100,99,100
female,group C,some college,free/reduced,none,54,64,65
female,group E,some college,standard,none,77,73,67
female,group D,master's degree,free/reduced,none,69,71,76
female,group C,associate's degree,standard,completed,88,92,93
female,group A,associate's degree,standard,none,74,81,79
male,group C,some high school,standard,completed,59,59,56
male,group D,high school,standard,none,72,80,74
male,group A,master's degree,free/reduced,none,50,59,53
female,group C,some high school,free/reduced,completed,23,36,31
female,group B,associate's degree,standard,completed,66,78,76
male,group C,some college,free/reduced,none,68,65,65
female,group C,master's degree,standard,none,46,63,60
male,group C,some college,standard,none,61,59,60
male,group E,high school,standard,none,54,58,50
male,group D,bachelor's degree,standard,completed,90,84,79
female,group B,some college,standard,none,60,67,71
male,group C,master's degree,standard,completed,78,78,82
male,group C,some high school,standard,completed,59,66,61
male,group E,bachelor's degree,standard,completed,78,70,70
female,group D,high school,standard,completed,75,77,81
male,group D,bachelor's degree,free/reduced,completed,65,73,79
female,group A,some high school,free/reduced,none,37,44,46
male,group C,master's degree,free/reduced,none,82,82,77
female,group D,some college,free/reduced,none,54,81,76
male,group B,some college,standard,completed,92,80,86
female,group D,some college,standard,none,60,72,75
female,group E,some college,standard,completed,71,78,81
female,group D,some college,free/reduced,completed,49,65,64
male,group B,some high school,free/reduced,none,47,55,49
male,group B,some college,free/reduced,none,62,62,59
female,group C,high school,standard,none,56,77,70
female,group C,some high school,standard,completed,67,69,73
female,group E,some college,free/reduced,none,82,85,73
female,group A,associate's degree,free/reduced,none,47,55,52
female,group D,associate's degree,free/reduced,none,67,81,83
male,group D,bachelor's degree,standard,completed,85,86,88
male,group C,some college,free/reduced,completed,35,35,42
female,group C,high school,standard,none,88,93,90
female,group C,high school,free/reduced,none,62,69,64
female,group C,associate's degree,standard,none,66,81,77
female,group C,some college,free/reduced,completed,41,54,57
male,group C,some college,free/reduced,completed,57,48,45
female,group E,some college,standard,completed,84,82,84
female,group B,high school,standard,none,60,74,69
female,group C,some college,standard,none,42,49,53
female,group C,some college,standard,completed,64,64,66
female,group B,some college,standard,none,60,67,66
female,group C,master's degree,standard,none,68,72,77
female,group C,some college,standard,completed,81,83,86
